epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
167,0.49714,0.40332,1.0153,0.32406,0.29526,0.87481,0.93144,0.92062,0.9657,0.91424,0.001783,0.001783,0.001783
168,0.49897,0.4008,1.01503,0.32417,0.29564,0.87553,0.93839,0.91283,0.96562,0.91412,0.0017335,0.0017335,0.0017335
169,0.49738,0.39803,1.01468,0.32304,0.29508,0.87456,0.92964,0.92207,0.96537,0.91496,0.001684,0.001684,0.001684
170,0.49824,0.40716,1.01545,0.32287,0.29484,0.87462,0.93777,0.91269,0.96541,0.91476,0.0016345,0.0016345,0.0016345
171,0.50184,0.40837,1.0193,0.32345,0.29391,0.8754,0.93549,0.91551,0.96534,0.91523,0.001585,0.001585,0.001585
172,0.499,0.39859,1.01824,0.32243,0.29339,0.87423,0.936,0.91639,0.96541,0.91543,0.0015355,0.0015355,0.0015355
173,0.49189,0.40209,1.01087,0.32173,0.29369,0.87355,0.93615,0.91732,0.96534,0.91578,0.001486,0.001486,0.001486
174,0.49111,0.39605,1.01194,0.32131,0.29342,0.87357,0.93587,0.91762,0.96541,0.91574,0.0014365,0.0014365,0.0014365
175,0.48654,0.39332,1.00899,0.3207,0.29321,0.87332,0.93528,0.91817,0.96525,0.91529,0.001387,0.001387,0.001387
176,0.48897,0.39018,1.01683,0.32122,0.29398,0.87421,0.93521,0.91786,0.96519,0.91551,0.0013375,0.0013375,0.0013375
177,0.4907,0.39476,1.01616,0.32114,0.29392,0.87419,0.93548,0.91758,0.96527,0.91564,0.001288,0.001288,0.001288
178,0.49236,0.39428,1.01455,0.32084,0.29393,0.87405,0.93595,0.91739,0.96512,0.91525,0.0012385,0.0012385,0.0012385
179,0.4834,0.38657,1.0117,0.32017,0.29469,0.87378,0.93598,0.91651,0.96511,0.91506,0.001189,0.001189,0.001189
180,0.4822,0.38885,1.00943,0.3207,0.29468,0.87436,0.93577,0.91648,0.9651,0.91468,0.0011395,0.0011395,0.0011395
181,0.49061,0.38753,1.0165,0.32056,0.29457,0.87456,0.93526,0.91605,0.96498,0.915,0.00109,0.00109,0.00109
182,0.48305,0.38395,1.01032,0.32052,0.29417,0.87459,0.93609,0.91555,0.96486,0.91515,0.0010405,0.0010405,0.0010405
183,0.48108,0.38404,1.00873,0.32016,0.29388,0.87427,0.93657,0.9139,0.96479,0.9154,0.000991,0.000991,0.000991
184,0.48218,0.37781,1.00998,0.31989,0.29355,0.87433,0.93572,0.91449,0.96477,0.91503,0.0009415,0.0009415,0.0009415
185,0.48629,0.3802,1.01587,0.31964,0.29373,0.87418,0.93775,0.91338,0.96464,0.91522,0.000892,0.000892,0.000892
186,0.47753,0.37959,1.007,0.31936,0.2933,0.874,0.93829,0.9134,0.96459,0.91533,0.0008425,0.0008425,0.0008425
187,0.46468,0.36704,1.00209,0.31959,0.29348,0.87417,0.93949,0.91205,0.9646,0.91536,0.000793,0.000793,0.000793
188,0.46859,0.37012,1.00385,0.31953,0.29366,0.87412,0.93827,0.91402,0.96466,0.91533,0.0007435,0.0007435,0.0007435
189,0.46642,0.36878,1.00114,0.31924,0.29287,0.87409,0.939,0.91276,0.96465,0.91527,0.000694,0.000694,0.000694
190,0.4752,0.37847,1.00651,0.31917,0.2931,0.87401,0.93841,0.91428,0.96468,0.91497,0.0006445,0.0006445,0.0006445
191,0.2599,0.17376,0.82467,0.31922,0.29323,0.87395,0.9383,0.91437,0.96458,0.91528,0.000595,0.000595,0.000595
192,0.25559,0.1693,0.82255,0.31859,0.29316,0.87278,0.93888,0.91275,0.9646,0.91577,0.0005455,0.0005455,0.0005455
